Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class
3068,0.0024,0.17,16.12,0,Red,M
3628,0.0055,0.393,10.48,1,Red,M
2650,0.0006,0.14,11.782,1,Red,M
3340,0.0038,0.24,13.07,1,Red,M
2799,0.0018,0.16,14.79,1,Red,M
3692,0.00367,0.47,10.8,1,Red,M
3192,0.00362,0.1967,13.53,1,Red,M
3441,0.039,0.351,11.18,1,Red,M
25000,0.056,0.0084,10.58,2,Blue White,B
7740,0.00049,0.01234,14.02,2,White,A
7220,0.00017,0.011,14.23,2,White,F
8500,0.0005,0.01,14.5,2,White,A
16500,0.013,0.014,11.89,2,Blue White,B
12990,0.000085,0.00984,12.23,2,Yellowish White,F
8570,0.00081,0.0097,14.2,2,Blue white,A
7700,0.00011,0.0128,14.47,2,Yellowish White,F
11790,0.00015,0.011,12.59,2,Yellowish White,F
7230,0.00008,0.013,14.08,2,Pale yellow orange,F
39000,204000,10.6,-4.7,3,Blue,O
30000,28840,6.3,-4.2,3,Blue-white,B
15276,1136,7.2,-1.97,3,Blue-white,B
9700,74,2.89,0.16,3,Whitish,B
5800,0.81,0.9,5.05,3,yellow-white,F
8052,8.7,1.8,2.42,3,Whitish,A
6757,1.43,1.12,2.41,3,yellow-white,F
6380,1.35,0.98,2.93,3,yellow-white,F
5936,1.357,1.106,4.46,3,yellow-white,F
5587,0.819,0.99,5.03,3,yellow-white,F
3826,200000,19,-6.93,4,Red,M
3365,340000,23,-6.2,4,Red,M
3270,150000,88,-6.02,4,Red,M
3200,195000,17,-7.22,4,Red,M
3008,280000,25,-6,4,Red,M
3600,320000,29,-6.6,4,Red,M
3575,123000,45,-6.78,4,Red,M
3574,200000,89,-5.24,4,Red,M
3625,184000,84,-6.74,4,Red,M
33750,220000,26,-6.1,4,Blue,B
3490,270000,1520,-9.4,5,Red,M
3750,283000,1260,-7.63,5,Red,M
3834,272000,1183,-9.2,5,Red,M
3749,550000,1648,-8.05,5,Orange,M
3650,310000,1324,-7.79,5,Red,M
3450,263000,1349,-11.75,5,Red,M
3660,363000,1673,-11.92,5,Red,M
3450,174000,1284,-11.28,5,Red,M
3752,209000,955,-11.24,5,Red,M
3535,195000,1546,-11.36,5,Red,M
3341,0.0056,0.057,16.23,0,Red,M
3432,0.00067,0.19,16.94,0,Red,M
2983,0.00024,0.094,16.09,0,Red,M
2835,0.00034,0.0918,16.96,0,Red,M
2935,0.00014,0.116,18.89,0,Red,M
3295,0.00098,0.132,17.13,0,Red,M
2945,0.00032,0.093,18.34,0,Red,M
2817,0.00098,0.0911,16.45,0,Red,M
2774,0.00036,0.118,17.39,0,Red,M
2871,0.00072,0.12,19.43,0,Red,M
3345,0.021,0.273,12.3,1,Red,M
3607,0.022,0.38,10.12,1,Red,M
3304,0.0085,0.18,13.2,1,Red,M
3142,0.00132,0.258,14.12,1,Red,M
3496,0.00125,0.336,14.94,1,Red,M
3324,0.0065,0.471,12.78,1,Red,M
3463,0.0027,0.675,14.776,1,Red,M
16790,0.0014,0.0121,12.87,2,Blue,B
15680,0.00122,0.0114,11.92,2,Blue,B
14982,0.00118,0.0113,12.23,2,Blue,B
13340,0.00109,0.0116,12.9,2,Blue,B
18340,0.00134,0.0124,11.22,2,Blue,B
19920,0.00156,0.0142,11.34,2,Blue,B
24020,0.00159,0.0127,10.55,2,Blue,B
23092,0.00132,0.0104,10.18,2,Blue,B
17920,0.00111,0.0106,11.66,2,Blue,B
19360,0.00125,0.00998,11.62,2,Blue,B
22350,12450,6.36,-3.67,3,Blue-white,B
10012,552,5.856,0.013,3,Blue-white,A
13089,788,5.992,-0.12,3,Blue-white,A
22012,6748,6.64,-2.55,3,Blue-white,B
34190,198200,6.39,-4.57,3,Blue,O
32460,173800,6.237,-4.36,3,Blue,O
9320,29,1.91,1.236,3,Blue-white,A
19400,10920,6.03,-3.08,3,Blue-white,B
17140,883,5.653,-2.64,3,Blue-white,B
8250,9.25,1.93,-0.98,3,yellow-white,F
23678,244290,35,-6.27,4,Blue,O
12749,332520,76,-7.02,4,Blue,O
9383,342940,98,-6.98,4,Blue,O
23440,537430,81,-5.975,4,Blue,O
16787,246730,62,-6.35,4,Blue,O
18734,224780,46,-7.45,4,Blue,O
9892,593900,80,-7.262,4,Blue,O
10930,783930,25,-6.224,4,Blue,O
23095,347820,86,-5.905,4,Blue,O
21738,748890,92,-7.346,4,Blue,O
24145,382993,1494,-8.84,5,Blue-white,B
38234,272830,1356,-9.29,5,Blue,O
32489,648430,1948.5,-10.84,5,Blue,O
27739,849420,1252,-7.59,5,Blue-white,B
21904,748490,1130,-7.67,5,Blue-white,B
38940,374830,1356,-9.93,5,Blue,O
30839,834042,1194,-10.63,5,Blue,O
8829,537493,1423,-10.73,5,White,A
9235,404940,1112,-11.23,5,White,A
37882,294903,1783,-7.8,5,Blue,O
